
[10:02:18] [1/6] seed=21 beta=0 -> s21_b0
Launching 40 programs x 8 steps
Start context sizes: 1500..8000 tokens
Rough peak demand: ~317,987 tokens vs 43,216 capacity

  prog-007 finished (8 steps, start=5500 tok)
  prog-003 finished (8 steps, start=4833 tok)
  prog-001 finished (8 steps, start=3833 tok)
  prog-000 finished (8 steps, start=5000 tok)
  prog-005 finished (8 steps, start=8000 tok)
  prog-004 finished (8 steps, start=2500 tok)
  prog-008 finished (8 steps, start=4333 tok)
  prog-009 finished (8 steps, start=4000 tok)
  prog-006 finished (8 steps, start=3500 tok)
  prog-010 finished (8 steps, start=2833 tok)
  prog-021 finished (8 steps, start=1833 tok)
  prog-002 finished (8 steps, start=2000 tok)
  prog-026 finished (8 steps, start=1500 tok)
  prog-011 finished (8 steps, start=2333 tok)
  prog-017 finished (8 steps, start=1666 tok)
  prog-028 finished (8 steps, start=2666 tok)
  prog-039 finished (8 steps, start=3166 tok)
  prog-034 finished (8 steps, start=3666 tok)
  prog-031 finished (8 steps, start=3333 tok)
  prog-030 finished (8 steps, start=4166 tok)
  prog-020 finished (8 steps, start=2166 tok)
  prog-036 finished (8 steps, start=4500 tok)
  prog-014 finished (8 steps, start=3000 tok)
  prog-018 finished (8 steps, start=4666 tok)
  prog-016 finished (8 steps, start=5166 tok)
  prog-013 finished (8 steps, start=5333 tok)
  prog-027 finished (8 steps, start=5666 tok)
  prog-038 finished (8 steps, start=5833 tok)
  prog-015 finished (8 steps, start=6333 tok)
  prog-012 finished (8 steps, start=6000 tok)
  prog-019 finished (8 steps, start=6166 tok)
  prog-035 finished (8 steps, start=6500 tok)
  prog-024 finished (8 steps, start=6666 tok)
  prog-032 finished (8 steps, start=6833 tok)
  prog-022 finished (8 steps, start=7166 tok)
  prog-033 finished (8 steps, start=7333 tok)
  prog-023 finished (8 steps, start=7500 tok)
  prog-029 finished (8 steps, start=7000 tok)
  prog-037 finished (8 steps, start=7833 tok)
  prog-025 finished (8 steps, start=7666 tok)

Done in 327s | 320/320 requests OK
Throughput: 58.6 steps/min
Saved -> results/s21_b0.json

[10:07:50] [3/6] seed=21 beta=1 -> s21_b1
Launching 40 programs x 8 steps
Start context sizes: 1500..8000 tokens
Rough peak demand: ~317,987 tokens vs 43,216 capacity

  prog-003 finished (8 steps, start=4833 tok)
  prog-007 finished (8 steps, start=5500 tok)
  prog-001 finished (8 steps, start=3833 tok)
  prog-000 finished (8 steps, start=5000 tok)
  prog-008 finished (8 steps, start=4333 tok)
  prog-004 finished (8 steps, start=2500 tok)
  prog-005 finished (8 steps, start=8000 tok)
  prog-009 finished (8 steps, start=4000 tok)
  prog-006 finished (8 steps, start=3500 tok)
  prog-011 finished (8 steps, start=2333 tok)
  prog-010 finished (8 steps, start=2833 tok)
  prog-002 finished (8 steps, start=2000 tok)
  prog-017 finished (8 steps, start=1666 tok)
  prog-021 finished (8 steps, start=1833 tok)
  prog-026 finished (8 steps, start=1500 tok)
  prog-020 finished (8 steps, start=2166 tok)
  prog-034 finished (8 steps, start=3666 tok)
  prog-036 finished (8 steps, start=4500 tok)
  prog-030 finished (8 steps, start=4166 tok)
  prog-039 finished (8 steps, start=3166 tok)
  prog-014 finished (8 steps, start=3000 tok)
  prog-028 finished (8 steps, start=2666 tok)
  prog-031 finished (8 steps, start=3333 tok)
  prog-018 finished (8 steps, start=4666 tok)
  prog-016 finished (8 steps, start=5166 tok)
  prog-013 finished (8 steps, start=5333 tok)
  prog-012 finished (8 steps, start=6000 tok)
  prog-027 finished (8 steps, start=5666 tok)
  prog-019 finished (8 steps, start=6166 tok)
  prog-038 finished (8 steps, start=5833 tok)
  prog-035 finished (8 steps, start=6500 tok)
  prog-024 finished (8 steps, start=6666 tok)
  prog-015 finished (8 steps, start=6333 tok)
  prog-033 finished (8 steps, start=7333 tok)
  prog-022 finished (8 steps, start=7166 tok)
  prog-029 finished (8 steps, start=7000 tok)
  prog-032 finished (8 steps, start=6833 tok)
  prog-025 finished (8 steps, start=7666 tok)
  prog-023 finished (8 steps, start=7500 tok)
  prog-037 finished (8 steps, start=7833 tok)

Done in 326s | 320/320 requests OK
Throughput: 58.9 steps/min
Saved -> results/s21_b1.json

[10:13:20] [3/6] seed=22 beta=0 -> s22_b0
Launching 40 programs x 8 steps
Start context sizes: 1500..8000 tokens
Rough peak demand: ~317,987 tokens vs 43,216 capacity

  prog-008 finished (8 steps, start=6000 tok)
  prog-005 finished (8 steps, start=7833 tok)
  prog-002 finished (8 steps, start=6666 tok)
  prog-000 finished (8 steps, start=7500 tok)
  prog-003 finished (8 steps, start=3500 tok)
  prog-001 finished (8 steps, start=2500 tok)
  prog-004 finished (8 steps, start=7166 tok)
  prog-007 finished (8 steps, start=5833 tok)
  prog-006 finished (8 steps, start=2166 tok)
  prog-013 finished (8 steps, start=1833 tok)
  prog-019 finished (8 steps, start=1500 tok)
  prog-034 finished (8 steps, start=2666 tok)
  prog-016 finished (8 steps, start=3000 tok)
  prog-022 finished (8 steps, start=3666 tok)
  prog-035 finished (8 steps, start=3333 tok)
  prog-028 finished (8 steps, start=3166 tok)
  prog-031 finished (8 steps, start=3833 tok)
  prog-039 finished (8 steps, start=2833 tok)
  prog-032 finished (8 steps, start=2333 tok)
  prog-038 finished (8 steps, start=4000 tok)
  prog-037 finished (8 steps, start=1666 tok)
  prog-014 finished (8 steps, start=2000 tok)
  prog-011 finished (8 steps, start=4166 tok)
  prog-025 finished (8 steps, start=4333 tok)
  prog-020 finished (8 steps, start=4500 tok)
  prog-024 finished (8 steps, start=5000 tok)
  prog-018 finished (8 steps, start=4833 tok)
  prog-033 finished (8 steps, start=5166 tok)
  prog-027 finished (8 steps, start=4666 tok)
  prog-012 finished (8 steps, start=5500 tok)
  prog-023 finished (8 steps, start=5333 tok)
  prog-010 finished (8 steps, start=5666 tok)
  prog-021 finished (8 steps, start=6333 tok)
  prog-036 finished (8 steps, start=6166 tok)
  prog-017 finished (8 steps, start=6500 tok)
  prog-026 finished (8 steps, start=6833 tok)
  prog-015 finished (8 steps, start=7000 tok)
  prog-009 finished (8 steps, start=7333 tok)
  prog-029 finished (8 steps, start=7666 tok)
  prog-030 finished (8 steps, start=8000 tok)

Done in 346s | 320/320 requests OK
Throughput: 55.4 steps/min
Saved -> results/s22_b0.json

[10:19:11] [3/6] seed=22 beta=1 -> s22_b1
Launching 40 programs x 8 steps
Start context sizes: 1500..8000 tokens
Rough peak demand: ~317,987 tokens vs 43,216 capacity

  prog-008 finished (8 steps, start=6000 tok)
  prog-002 finished (8 steps, start=6666 tok)
  prog-005 finished (8 steps, start=7833 tok)
  prog-000 finished (8 steps, start=7500 tok)
  prog-003 finished (8 steps, start=3500 tok)
  prog-004 finished (8 steps, start=7166 tok)
  prog-007 finished (8 steps, start=5833 tok)
  prog-001 finished (8 steps, start=2500 tok)
  prog-013 finished (8 steps, start=1833 tok)
  prog-006 finished (8 steps, start=2166 tok)
  prog-019 finished (8 steps, start=1500 tok)
  prog-039 finished (8 steps, start=2833 tok)
  prog-035 finished (8 steps, start=3333 tok)
  prog-028 finished (8 steps, start=3166 tok)
  prog-037 finished (8 steps, start=1666 tok)
  prog-034 finished (8 steps, start=2666 tok)
  prog-022 finished (8 steps, start=3666 tok)
  prog-016 finished (8 steps, start=3000 tok)
  prog-014 finished (8 steps, start=2000 tok)
  prog-032 finished (8 steps, start=2333 tok)
  prog-031 finished (8 steps, start=3833 tok)
  prog-038 finished (8 steps, start=4000 tok)
  prog-011 finished (8 steps, start=4166 tok)
  prog-025 finished (8 steps, start=4333 tok)
  prog-027 finished (8 steps, start=4666 tok)
  prog-024 finished (8 steps, start=5000 tok)
  prog-020 finished (8 steps, start=4500 tok)
  prog-023 finished (8 steps, start=5333 tok)
  prog-018 finished (8 steps, start=4833 tok)
  prog-012 finished (8 steps, start=5500 tok)
  prog-033 finished (8 steps, start=5166 tok)
  prog-026 finished (8 steps, start=6833 tok)
  prog-017 finished (8 steps, start=6500 tok)
  prog-010 finished (8 steps, start=5666 tok)
  prog-021 finished (8 steps, start=6333 tok)
  prog-036 finished (8 steps, start=6166 tok)
  prog-015 finished (8 steps, start=7000 tok)
  prog-009 finished (8 steps, start=7333 tok)
  prog-030 finished (8 steps, start=8000 tok)
  prog-029 finished (8 steps, start=7666 tok)

Done in 351s | 320/320 requests OK
Throughput: 54.7 steps/min
Saved -> results/s22_b1.json

[10:25:06] [3/6] seed=23 beta=0 -> s23_b0
Launching 40 programs x 8 steps
Start context sizes: 1500..8000 tokens
Rough peak demand: ~317,987 tokens vs 43,216 capacity

  prog-008 finished (8 steps, start=6500 tok)
  prog-001 finished (8 steps, start=6166 tok)
  prog-003 finished (8 steps, start=6333 tok)
  prog-009 finished (8 steps, start=3000 tok)
  prog-005 finished (8 steps, start=7666 tok)
  prog-002 finished (8 steps, start=3333 tok)
  prog-004 finished (8 steps, start=5666 tok)
  prog-007 finished (8 steps, start=4833 tok)
  prog-000 finished (8 steps, start=3166 tok)
  prog-026 finished (8 steps, start=1500 tok)
  prog-006 finished (8 steps, start=2166 tok)
  prog-021 finished (8 steps, start=2000 tok)
  prog-020 finished (8 steps, start=1833 tok)
  prog-027 finished (8 steps, start=3833 tok)
  prog-013 finished (8 steps, start=3500 tok)
  prog-038 finished (8 steps, start=2333 tok)
  prog-018 finished (8 steps, start=3666 tok)
  prog-029 finished (8 steps, start=2500 tok)
  prog-037 finished (8 steps, start=1666 tok)
  prog-025 finished (8 steps, start=2666 tok)
  prog-031 finished (8 steps, start=2833 tok)
  prog-019 finished (8 steps, start=4000 tok)
  prog-039 finished (8 steps, start=4500 tok)
  prog-016 finished (8 steps, start=4166 tok)
  prog-012 finished (8 steps, start=4333 tok)
  prog-032 finished (8 steps, start=5166 tok)
  prog-030 finished (8 steps, start=5333 tok)
  prog-011 finished (8 steps, start=5000 tok)
  prog-034 finished (8 steps, start=5500 tok)
  prog-036 finished (8 steps, start=4666 tok)
  prog-022 finished (8 steps, start=5833 tok)
  prog-017 finished (8 steps, start=6833 tok)
  prog-035 finished (8 steps, start=6000 tok)
  prog-010 finished (8 steps, start=7166 tok)
  prog-028 finished (8 steps, start=6666 tok)
  prog-033 finished (8 steps, start=7000 tok)
  prog-024 finished (8 steps, start=7500 tok)
  prog-023 finished (8 steps, start=7333 tok)
  prog-014 finished (8 steps, start=7833 tok)
  prog-015 finished (8 steps, start=8000 tok)

Done in 350s | 320/320 requests OK
Throughput: 54.8 steps/min
Saved -> results/s23_b0.json

[10:31:01] [3/6] seed=23 beta=1 -> s23_b1
Launching 40 programs x 8 steps
Start context sizes: 1500..8000 tokens
Rough peak demand: ~317,987 tokens vs 43,216 capacity

  prog-008 finished (8 steps, start=6500 tok)
  prog-001 finished (8 steps, start=6166 tok)
  prog-003 finished (8 steps, start=6333 tok)
  prog-009 finished (8 steps, start=3000 tok)
  prog-005 finished (8 steps, start=7666 tok)
  prog-002 finished (8 steps, start=3333 tok)
  prog-004 finished (8 steps, start=5666 tok)
  prog-007 finished (8 steps, start=4833 tok)
  prog-000 finished (8 steps, start=3166 tok)
  prog-006 finished (8 steps, start=2166 tok)
  prog-026 finished (8 steps, start=1500 tok)
  prog-021 finished (8 steps, start=2000 tok)
  prog-020 finished (8 steps, start=1833 tok)
  prog-027 finished (8 steps, start=3833 tok)
  prog-025 finished (8 steps, start=2666 tok)
  prog-038 finished (8 steps, start=2333 tok)
  prog-037 finished (8 steps, start=1666 tok)
  prog-029 finished (8 steps, start=2500 tok)
  prog-018 finished (8 steps, start=3666 tok)
  prog-013 finished (8 steps, start=3500 tok)
  prog-031 finished (8 steps, start=2833 tok)
  prog-019 finished (8 steps, start=4000 tok)
  prog-016 finished (8 steps, start=4166 tok)
  prog-012 finished (8 steps, start=4333 tok)
  prog-039 finished (8 steps, start=4500 tok)
  prog-032 finished (8 steps, start=5166 tok)
  prog-030 finished (8 steps, start=5333 tok)
  prog-011 finished (8 steps, start=5000 tok)
  prog-034 finished (8 steps, start=5500 tok)
  prog-036 finished (8 steps, start=4666 tok)
  prog-022 finished (8 steps, start=5833 tok)
  prog-035 finished (8 steps, start=6000 tok)
  prog-028 finished (8 steps, start=6666 tok)
  prog-017 finished (8 steps, start=6833 tok)
  prog-033 finished (8 steps, start=7000 tok)
  prog-010 finished (8 steps, start=7166 tok)
  prog-023 finished (8 steps, start=7333 tok)
  prog-024 finished (8 steps, start=7500 tok)
  prog-014 finished (8 steps, start=7833 tok)
  prog-015 finished (8 steps, start=8000 tok)

Done in 346s | 320/320 requests OK
Throughput: 55.5 steps/min
Saved -> results/s23_b1.json

[10:36:54] sweep complete -- results/s*_b*.json and results/scheduler_s*_b*.log
